Especie;Categoria_Ameaca;Legislacao
Mikania clematidifolia;VU;Portaria MMA N. 148/2022
Mikania dusenii;CR;Portaria MMA N. 148/2022
Mikania firmula;VU;Portaria MMA N. 148/2022
Mikania glabra;EN;Portaria MMA N. 148/2022
Mikania glauca;EN;Portaria MMA N. 148/2022
Mikania hartbergii;EN;Portaria MMA N. 148/2022
Mikania hastato-cordata;VU;Portaria MMA N. 148/2022
Mikania hastifolia;EN;Portaria MMA N. 148/2022
Mikania itambana;EN;Portaria MMA N. 148/2022
Mikania neurocaula;EN;Portaria MMA N. 148/2022
Mikania oreophila;EN;Portaria MMA N. 148/2022
Mikania pinnatiloba;EN;Portaria MMA N. 148/2022
Mikania premnifolia;EN;Portaria MMA N. 148/2022
Mikania pteropoda;EN;Portaria MMA N. 148/2022
Mikania variifolia;EN;Portaria MMA N. 148/2022
Mikania vauthieriana;EN;Portaria MMA N. 148/2022
Mikania viminea;EN;Portaria MMA N. 148/2022
Mikania warmingii;EN;Portaria MMA N. 148/2022
Minasia alpestris;EN;Portaria MMA N. 148/2022
Minasia pereirae;EN;Portaria MMA N. 148/2022
Minasia scapigera;EN;Portaria MMA N. 148/2022
Monogereion carajensis;CR;Portaria MMA N. 148/2022
Moquiniastrum argyreum;EN;Portaria MMA N. 148/2022
Moquiniastrum cordatum;EN;Portaria MMA N. 148/2022
Moquiniastrum hatschbachii;VU;Portaria MMA N. 148/2022
Moquiniastrum mollissimum;CR;Portaria MMA N. 148/2022
Moquiniastrum ramboi;VU;Portaria MMA N. 148/2022
Moquiniastrum sordidum;VU;Portaria MMA N. 148/2022
Neocabreria malachophylla;VU;Portaria MMA N. 148/2022
Noticastrum hatschbachii;EN;Portaria MMA N. 148/2022
Noticastrum malmei;EN;Portaria MMA N. 148/2022
Noticastrum psammophilum;EN;Portaria MMA N. 148/2022
Ophryosporus organensis;CR;Portaria MMA N. 148/2022
Pamphalea araucariophila;EN;Portaria MMA N. 148/2022
Pamphalea cardaminifolia;EN;Portaria MMA N. 148/2022
Pamphalea maxima;CR;Portaria MMA N. 148/2022
Pamphalea ramboi;CR;Portaria MMA N. 148/2022
Pamphalea smithii;EN;Portaria MMA N. 148/2022
Paralychnophora atkinsiae;CR;Portaria MMA N. 148/2022
Paralychnophora bicolor;VU;Portaria MMA N. 148/2022
Paralychnophora harleyi;VU;Portaria MMA N. 148/2022
Paralychnophora patriciana;EN;Portaria MMA N. 148/2022
Perezia eryngioides;EN;Portaria MMA N. 148/2022
Perezia multiflora;EN;Portaria MMA N. 148/2022
Picrosia cabreriana;CR;Portaria MMA N. 148/2022
Piptocarpha longipedunculata;EN;Portaria MMA N. 148/2022
Piptocarpha robusta;EN;Portaria MMA N. 148/2022
Piptocarpha verticillata;EN;Portaria MMA N. 148/2022
Piptolepis buxoides;EN;Portaria MMA N. 148/2022
Piptolepis imbricata;CR;Portaria MMA N. 148/2022
Piptolepis leptospermoides;CR;Portaria MMA N. 148/2022
Porophyllum bahiense;VU;Portaria MMA N. 148/2022
Proteopsis argentea;VU;Portaria MMA N. 148/2022
Richterago angustifolia;EN;Portaria MMA N. 148/2022
Richterago arenaria;VU;Portaria MMA N. 148/2022
Richterago campestris;EN;Portaria MMA N. 148/2022
Richterago caulescens;CR;Portaria MMA N. 148/2022
Richterago conduplicata;EN;Portaria MMA N. 148/2022
Richterago elegans;VU;Portaria MMA N. 148/2022
Richterago hatschbachii;EN;Portaria MMA N. 148/2022
Richterago lanata;EN;Portaria MMA N. 148/2022
Richterago petiolata;EN;Portaria MMA N. 148/2022
Richterago polyphylla;EN;Portaria MMA N. 148/2022
Richterago riparia;VU;Portaria MMA N. 148/2022
Richterago stenophylla;EN;Portaria MMA N. 148/2022
Richterago suffrutescens;CR;Portaria MMA N. 148/2022
Schlechtendalia luzulifolia;EN;Portaria MMA N. 148/2022
Senecio almasensis;CR;Portaria MMA N. 148/2022
Senecio arctiifolius;EN;Portaria MMA N. 148/2022
Senecio caparaoensis;EN;Portaria MMA N. 148/2022
Senecio gertii;EN;Portaria MMA N. 148/2022
Senecio graciellae;EN;Portaria MMA N. 148/2022
Senecio hatschbachii;EN;Portaria MMA N. 148/2022
Senecio heteroschizus;EN;Portaria MMA N. 148/2022
Senecio langei;VU;Portaria MMA N. 148/2022
Senecio promatensis;CR;Portaria MMA N. 148/2022
Senecio ramboanus;EN;Portaria MMA N. 148/2022
Senecio ramentaceus;VU;Portaria MMA N. 148/2022
Senecio riograndensis;EN;Portaria MMA N. 148/2022
Smallanthus araucariophilus;CR;Portaria MMA N. 148/2022
Smallanthus riograndensis;EN;Portaria MMA N. 148/2022
Stevia catharinensis;EN;Portaria MMA N. 148/2022
Stevia hilarii;CR;Portaria MMA N. 148/2022
Stevia leptophylla;EN;Portaria MMA N. 148/2022
Stevia organensis;EN;Portaria MMA N. 148/2022
Stevia riedelli;EN;Portaria MMA N. 148/2022
Stevia selloi;VU;Portaria MMA N. 148/2022
Steyermarkina dispalata;VU;Portaria MMA N. 148/2022
Stifftia fruticosa;VU;Portaria MMA N. 148/2022
Stilpnopappus semirianus;EN;Portaria MMA N. 148/2022
Stilpnopappus suffruticosus;CR;Portaria MMA N. 148/2022
Stomatanthes loefgrenii;CR;Portaria MMA N. 148/2022
Strophopappus bicolor;EN;Portaria MMA N. 148/2022
Strophopappus ferrugineus;EN;Portaria MMA N. 148/2022
Stylotrichium corymbosum;EN;Portaria MMA N. 148/2022
Stylotrichium edmundoi;EN;Portaria MMA N. 148/2022
Stylotrichium glomeratum;CR;Portaria MMA N. 148/2022
Stylotrichium sucrei;EN;Portaria MMA N. 148/2022
Symphyopappus uncinatus;EN;Portaria MMA N. 148/2022
Trichocline linearifolia;VU;Portaria MMA N. 148/2022
Trichogoniopsis podocarpa;EN;Portaria MMA N. 148/2022
Trixis glaziovii;VU;Portaria MMA N. 148/2022
Trixis pallida;CR;Portaria MMA N. 148/2022
Vernonanthura fagifolia;VU;Portaria MMA N. 148/2022
Vernonanthura spathulata;CR;Portaria MMA N. 148/2022
Vickia rotundifolia;VU;Portaria MMA N. 148/2022
Wedelia macedoi;CR;Portaria MMA N. 148/2022
Wunderlichia azulensis;VU;Portaria MMA N. 148/2022
Wunderlichia insignis;EN;Portaria MMA N. 148/2022
Wunderlichia senae;EN;Portaria MMA N. 148/2022
Begonia albidula;EN;Portaria MMA N. 148/2022
Begonia altamiroi;EN;Portaria MMA N. 148/2022
Begonia apparicioi;EN;Portaria MMA N. 148/2022
Begonia bahiensis;EN;Portaria MMA N. 148/2022
Begonia besleriifolia;EN;Portaria MMA N. 148/2022
Begonia bonitoensis;CR;Portaria MMA N. 148/2022
Begonia coccinea;EN;Portaria MMA N. 148/2022
Begonia collaris;EN;Portaria MMA N. 148/2022
Begonia concinna;EN;Portaria MMA N. 148/2022
Begonia crispula;CR;Portaria MMA N. 148/2022
Begonia curtii;VU;Portaria MMA N. 148/2022
Begonia densifolia;EN;Portaria MMA N. 148/2022
Begonia dentatiloba;EN;Portaria MMA N. 148/2022
Begonia depauperata;EN;Portaria MMA N. 148/2022
Begonia edmundoi;EN;Portaria MMA N. 148/2022
Begonia epipsila;EN;Portaria MMA N. 148/2022
Begonia espiritosantensis;EN;Portaria MMA N. 148/2022
Begonia friburgensis;EN;Portaria MMA N. 148/2022
Begonia handroi;EN;Portaria MMA N. 148/2022
Begonia ibitiocensis;EN;Portaria MMA N. 148/2022
Begonia inconspicua;CR;Portaria MMA N. 148/2022
Begonia itaguassuensis;EN;Portaria MMA N. 148/2022
Begonia itatinensis;EN;Portaria MMA N. 148/2022
Begonia jocelinoi;CR;Portaria MMA N. 148/2022
Begonia jureiensis;CR;Portaria MMA N. 148/2022
Begonia kuhlmannii;EN;Portaria MMA N. 148/2022
Begonia lanstyakii;CR;Portaria MMA N. 148/2022
Begonia larorum;CR;Portaria MMA N. 148/2022
Begonia lunaris;EN;Portaria MMA N. 148/2022
Begonia olsoniae;VU;Portaria MMA N. 148/2022
Begonia organensis;EN;Portaria MMA N. 148/2022
Begonia paranaensis;EN;Portaria MMA N. 148/2022
Begonia paulensis;EN;Portaria MMA N. 148/2022
Begonia perdusenii;EN;Portaria MMA N. 148/2022
Begonia piresiana;CR;Portaria MMA N. 148/2022
Begonia pluvialis;EN;Portaria MMA N. 148/2022
Begonia polygonifolia;EN;Portaria MMA N. 148/2022
Begonia ramentacea;VU;Portaria MMA N. 148/2022
Begonia rubropilosa;CR;Portaria MMA N. 148/2022
Begonia ruschii;CR;Portaria MMA N. 148/2022
Begonia salesopolensis;CR;Portaria MMA N. 148/2022
Begonia sanguinea;VU;Portaria MMA N. 148/2022
Begonia santoslimae;EN;Portaria MMA N. 148/2022
Begonia scharffii;CR;Portaria MMA N. 148/2022
Begonia semidigitata;EN;Portaria MMA N. 148/2022
Begonia stenolepis;EN;Portaria MMA N. 148/2022
Begonia sylvatica;EN;Portaria MMA N. 148/2022
Begonia sylvestris;EN;Portaria MMA N. 148/2022
Begonia toledoana;EN;Portaria MMA N. 148/2022
Begonia tomentosa;VU;Portaria MMA N. 148/2022
Begonia undulata;EN;Portaria MMA N. 148/2022
Begonia venosa;CR;Portaria MMA N. 148/2022
Begonia vicina;EN;Portaria MMA N. 148/2022
Berberis campos-portoi;CR;Portaria MMA N. 148/2022
Adenocalymma dichilum;EN;Portaria MMA N. 148/2022
Adenocalymma ubatubense;CR;Portaria MMA N. 148/2022
Anemopaegma arvense;EN;Portaria MMA N. 148/2022
Anemopaegma mirabile;CR;Portaria MMA N. 148/2022
Bignonia costata;VU;Portaria MMA N. 148/2022
Fridericia crassa;VU;Portaria MMA N. 148/2022
Fridericia elegans;EN;Portaria MMA N. 148/2022
Handroanthus arianeae;EN;Portaria MMA N. 148/2022
Handroanthus botelhensis;EN;Portaria MMA N. 148/2022
Handroanthus cristatus;EN;Portaria MMA N. 148/2022
Handroanthus grandiflorus;CR;Portaria MMA N. 148/2022
Handroanthus riodocensis;EN;Portaria MMA N. 148/2022
Handroanthus spongiosus;EN;Portaria MMA N. 148/2022
Jacaranda crassifolia;EN;Portaria MMA N. 148/2022
Jacaranda egleri;CR;Portaria MMA N. 148/2022
Jacaranda grandifoliolata;EN;Portaria MMA N. 148/2022
Jacaranda microcalyx;EN;Portaria MMA N. 148/2022
Jacaranda rugosa;EN;Portaria MMA N. 148/2022
Paratecoma peroba;EN;Portaria MMA N. 148/2022
Pleonotoma bracteata;VU;Portaria MMA N. 148/2022
Sparattosperma catingae;EN;Portaria MMA N. 148/2022
Tabebuia cassinoides;VU;Portaria MMA N. 148/2022
Tabebuia nodosa;EN;Portaria MMA N. 148/2022
Austroblechnum andinum;CR;Portaria MMA N. 148/2022
Austroblechnum squamipes;EN;Portaria MMA N. 148/2022
Blechnum heringeri;VU;Portaria MMA N. 148/2022
Cranfillia caudata;VU;Portaria MMA N. 148/2022
Cordia blanchetii;EN;Portaria MMA N. 148/2022
Cordia candida;EN;Portaria MMA N. 148/2022
Cordia fusca;EN;Portaria MMA N. 148/2022
Cordia gardneri;EN;Portaria MMA N. 148/2022
Cordia hatschbachii;VU;Portaria MMA N. 148/2022
Cordia latiloba;EN;Portaria MMA N. 148/2022
Cordia ochnacea;EN;Portaria MMA N. 148/2022
Cordia restingae;EN;Portaria MMA N. 148/2022
Cordia ulei;EN;Portaria MMA N. 148/2022
Aechmea alopecurus;EN;Portaria MMA N. 148/2022
Aechmea amicorum;EN;Portaria MMA N. 148/2022
Aechmea apocalyptica;VU;Portaria MMA N. 148/2022
Aechmea azurea;VU;Portaria MMA N. 148/2022
Aechmea bambusoides;VU;Portaria MMA N. 148/2022
Aechmea caesia;EN;Portaria MMA N. 148/2022
Aechmea cariocae;EN;Portaria MMA N. 148/2022
Aechmea castanea;EN;Portaria MMA N. 148/2022
Aechmea echinata;EN;Portaria MMA N. 148/2022
Aechmea fasciata;VU;Portaria MMA N. 148/2022
Aechmea fosteriana;EN;Portaria MMA N. 148/2022
Aechmea kertesziae;EN;Portaria MMA N. 148/2022
Aechmea kleinii;EN;Portaria MMA N. 148/2022
Aechmea macrochlamys;EN;Portaria MMA N. 148/2022
Aechmea marginalis;CR;Portaria MMA N. 148/2022
Aechmea muricata;EN;Portaria MMA N. 148/2022
Aechmea mutica;EN;Portaria MMA N. 148/2022
Aechmea orlandiana;CR;Portaria MMA N. 148/2022
Aechmea sphaerocephala;EN;Portaria MMA N. 148/2022
Aechmea triangularis;EN;Portaria MMA N. 148/2022
Aechmea vanhoutteana;VU;Portaria MMA N. 148/2022
Aechmea werdermannii;EN;Portaria MMA N. 148/2022
Aechmea winkleri;CR;Portaria MMA N. 148/2022
Alcantarea benzingii;CR;Portaria MMA N. 148/2022
Alcantarea duarteana;EN;Portaria MMA N. 148/2022
Alcantarea farneyi;CR;Portaria MMA N. 148/2022
Alcantarea geniculata;EN;Portaria MMA N. 148/2022
Alcantarea glaziouana;EN;Portaria MMA N. 148/2022
Alcantarea heloisae;EN;Portaria MMA N. 148/2022
Alcantarea imperialis;VU;Portaria MMA N. 148/2022
Alcantarea martinellii;VU;Portaria MMA N. 148/2022
Alcantarea nahoumii;VU;Portaria MMA N. 148/2022
Alcantarea nevaresii;VU;Portaria MMA N. 148/2022
Alcantarea tortuosa;VU;Portaria MMA N. 148/2022
Alcantarea vinicolor;EN;Portaria MMA N. 148/2022
Araeococcus montanus;EN;Portaria MMA N. 148/2022
Billbergia brasiliensis;EN;Portaria MMA N. 148/2022
Bromelia braunii;CR;Portaria MMA N. 148/2022
Canistropsis albiflora;VU;Portaria MMA N. 148/2022
Canistropsis elata;CR;Portaria MMA N. 148/2022
Canistropsis marceloi;VU;Portaria MMA N. 148/2022
Canistropsis pulcherrima;EN;Portaria MMA N. 148/2022
Canistrum alagoanum;EN;Portaria MMA N. 148/2022
Canistrum aurantiacum;EN;Portaria MMA N. 148/2022
Canistrum camacaense;EN;Portaria MMA N. 148/2022
Canistrum fosterianum;CR;Portaria MMA N. 148/2022
Canistrum guzmanioides;EN;Portaria MMA N. 148/2022
Canistrum montanum;EN;Portaria MMA N. 148/2022
Canistrum pickelii;VU;Portaria MMA N. 148/2022
Canistrum triangulare;EN;Portaria MMA N. 148/2022
Cryptanthus bromelioides;EN;Portaria MMA N. 148/2022
Cryptanthus capitatus;EN;Portaria MMA N. 148/2022
Cryptanthus coriaceus;EN;Portaria MMA N. 148/2022
Cryptanthus dorothyae;EN;Portaria MMA N. 148/2022
Cryptanthus maritimus;EN;Portaria MMA N. 148/2022
Cryptanthus minarum;EN;Portaria MMA N. 148/2022
Cryptanthus sinuosus;EN;Portaria MMA N. 148/2022
Cryptanthus zonatus;VU;Portaria MMA N. 148/2022
Deuterocohnia meziana;VU;Portaria MMA N. 148/2022
Dyckia agudensis;CR;Portaria MMA N. 148/2022
Dyckia delicata;CR;Portaria MMA N. 148/2022
Dyckia distachya;CR;Portaria MMA N. 148/2022
Dyckia fosteriana;EN;Portaria MMA N. 148/2022
Dyckia hatschbachii;CR;Portaria MMA N. 148/2022
Dyckia ibiramensis;EN;Portaria MMA N. 148/2022
Dyckia maritima;EN;Portaria MMA N. 148/2022
Dyckia martinellii;CR;Portaria MMA N. 148/2022
Dyckia monticola;CR;Portaria MMA N. 148/2022
Dyckia rariflora;EN;Portaria MMA N. 148/2022
Dyckia reitzii;EN;Portaria MMA N. 148/2022
Dyckia remotiflora;EN;Portaria MMA N. 148/2022
Dyckia ursina;CR;Portaria MMA N. 148/2022
Eduandrea selloana;EN;Portaria MMA N. 148/2022
Encholirium biflorum;CR;Portaria MMA N. 148/2022
Encholirium disjunctum;CR;Portaria MMA N. 148/2022
Encholirium gracile;EN;Portaria MMA N. 148/2022
Encholirium heloisae;EN;Portaria MMA N. 148/2022
Encholirium horridum;EN;Portaria MMA N. 148/2022
Encholirium irwinii;CR;Portaria MMA N. 148/2022
Encholirium kranzianum;CR;Portaria MMA N. 148/2022
Encholirium longiflorum;CR;Portaria MMA N. 148/2022
Encholirium luxor;EN;Portaria MMA N. 148/2022
Encholirium pedicellatum;CR;Portaria MMA N. 148/2022
Encholirium scrutor;EN;Portaria MMA N. 148/2022
Encholirium splendidum;EN;Portaria MMA N. 148/2022
Encholirium vogelii;CR;Portaria MMA N. 148/2022
Fernseea bocainensis;CR;Portaria MMA N. 148/2022
Fernseea itatiaiae;EN;Portaria MMA N. 148/2022
Guzmania monostachia;VU;Portaria MMA N. 148/2022
Guzmania sanguinea;EN;Portaria MMA N. 148/2022
Hohenbergia castellanosii;EN;Portaria MMA N. 148/2022
Hohenbergia correia-araujoi;CR;Portaria MMA N. 148/2022
Hohenbergia littoralis;EN;Portaria MMA N. 148/2022
Hoplocryptanthus caracensis;CR;Portaria MMA N. 148/2022
Hoplocryptanthus glaziovii;CR;Portaria MMA N. 148/2022
Karawata depressa;EN;Portaria MMA N. 148/2022
Karawata gustavoi;CR;Portaria MMA N. 148/2022
Lapanthus duartei;EN;Portaria MMA N. 148/2022
Lymania alvimii;EN;Portaria MMA N. 148/2022
Lymania azurea;EN;Portaria MMA N. 148/2022
Lymania brachycaulis;EN;Portaria MMA N. 148/2022
Lymania corallina;EN;Portaria MMA N. 148/2022
Lymania globosa;EN;Portaria MMA N. 148/2022
Lymania spiculata;CR;Portaria MMA N. 148/2022
Neoregelia abendrothae;EN;Portaria MMA N. 148/2022
Neoregelia angustibracteolata;CR;Portaria MMA N. 148/2022
Neoregelia bragarum;EN;Portaria MMA N. 148/2022
Neoregelia brownii;CR;Portaria MMA N. 148/2022
Neoregelia coimbrae;EN;Portaria MMA N. 148/2022
Neoregelia coriacea;EN;Portaria MMA N. 148/2022
Neoregelia eltoniana;EN;Portaria MMA N. 148/2022
Neoregelia fosteriana;CR;Portaria MMA N. 148/2022
Neoregelia hoehneana;EN;Portaria MMA N. 148/2022
Neoregelia indecora;EN;Portaria MMA N. 148/2022
Neoregelia inexspectata;EN;Portaria MMA N. 148/2022
Neoregelia lactea;CR;Portaria MMA N. 148/2022
Neoregelia leprosa;VU;Portaria MMA N. 148/2022
Neoregelia leucophoea;EN;Portaria MMA N. 148/2022
Neoregelia longipedicellata;CR;Portaria MMA N. 148/2022
Neoregelia macahensis;EN;Portaria MMA N. 148/2022
Neoregelia menescalii;EN;Portaria MMA N. 148/2022
Neoregelia oligantha;VU;Portaria MMA N. 148/2022
Neoregelia paulistana;EN;Portaria MMA N. 148/2022
Neoregelia pernambucana;EN;Portaria MMA N. 148/2022
Neoregelia petropolitana;EN;Portaria MMA N. 148/2022
Neoregelia roethii;CR;Portaria MMA N. 148/2022
Neoregelia ruschii;EN;Portaria MMA N. 148/2022
Neoregelia sanguinea;EN;Portaria MMA N. 148/2022
Neoregelia sapiatibensis;EN;Portaria MMA N. 148/2022
Neoregelia tenebrosa;EN;Portaria MMA N. 148/2022
Nidularium altimontanum;CR;Portaria MMA N. 148/2022
Nidularium angustifolium;EN;Portaria MMA N. 148/2022
Nidularium apiculatum;VU;Portaria MMA N. 148/2022
Nidularium atalaiaense;EN;Portaria MMA N. 148/2022
Nidularium azureum;EN;Portaria MMA N. 148/2022
Nidularium bocainense;EN;Portaria MMA N. 148/2022
Nidularium corallinum;EN;Portaria MMA N. 148/2022
Nidularium ferrugineum;CR;Portaria MMA N. 148/2022
Nidularium fradense;EN;Portaria MMA N. 148/2022
Nidularium fulgens;VU;Portaria MMA N. 148/2022
Nidularium itatiaiae;EN;Portaria MMA N. 148/2022
Nidularium jonesianum;EN;Portaria MMA N. 148/2022
Nidularium kautskyanum;EN;Portaria MMA N. 148/2022
Nidularium mangaratibense;CR;Portaria MMA N. 148/2022
Nidularium minutum;VU;Portaria MMA N. 148/2022
Nidularium rosulatum;VU;Portaria MMA N. 148/2022
Nidularium serratum;VU;Portaria MMA N. 148/2022
Nidularium utriculosum;CR;Portaria MMA N. 148/2022
Nidularium viridipetalum;EN;Portaria MMA N. 148/2022
Orthophytum duartei;EN;Portaria MMA N. 148/2022
Orthophytum foliosum;VU;Portaria MMA N. 148/2022
Orthophytum fosterianum;EN;Portaria MMA N. 148/2022
Orthophytum grossiorum;EN;Portaria MMA N. 148/2022
Orthophytum magalhaesii;EN;Portaria MMA N. 148/2022
Orthophytum zanonii;CR;Portaria MMA N. 148/2022
Pitcairnia albiflos;VU;Portaria MMA N. 148/2022
Pitcairnia bradei;CR;Portaria MMA N. 148/2022
Pitcairnia burlemarxii;CR;Portaria MMA N. 148/2022
Pitcairnia corcovadensis;VU;Portaria MMA N. 148/2022
Pitcairnia decidua;EN;Portaria MMA N. 148/2022
Pitcairnia encholirioides;EN;Portaria MMA N. 148/2022
Pitcairnia glaziovii;EN;Portaria MMA N. 148/2022
Pitcairnia insularis;CR;Portaria MMA N. 148/2022
Pitcairnia limae;CR;Portaria MMA N. 148/2022
Pitcairnia staminea;EN;Portaria MMA N. 148/2022
Pitcairnia suaveolens;EN;Portaria MMA N. 148/2022
Pitcairnia wendtiae;CR;Portaria MMA N. 148/2022
Portea alatisepala;VU;Portaria MMA N. 148/2022
Portea fosteriana;EN;Portaria MMA N. 148/2022
Portea grandiflora;VU;Portaria MMA N. 148/2022
Portea kermesina;EN;Portaria MMA N. 148/2022
Portea nana;EN;Portaria MMA N. 148/2022
Quesnelia kautskyi;VU;Portaria MMA N. 148/2022
Quesnelia lateralis;VU;Portaria MMA N. 148/2022
Quesnelia seideliana;EN;Portaria MMA N. 148/2022
Rokautskyia caulescens;EN;Portaria MMA N. 148/2022
Rokautskyia exaltata;EN;Portaria MMA N. 148/2022
Rokautskyia fernseeoides;CR;Portaria MMA N. 148/2022
Rokautskyia odoratissima;EN;Portaria MMA N. 148/2022
Rokautskyia pseudoscaposa;EN;Portaria MMA N. 148/2022
Rokautskyia robertokautskyi;CR;Portaria MMA N. 148/2022
Rokautskyia scaposa;EN;Portaria MMA N. 148/2022
Rokautskyia whitmanii;CR;Portaria MMA N. 148/2022
Sincoraea amoena;EN;Portaria MMA N. 148/2022
Sincoraea humilis;CR;Portaria MMA N. 148/2022
Stigmatodon amadoi;CR;Portaria MMA N. 148/2022
Stigmatodon brassicoides;EN;Portaria MMA N. 148/2022
Stigmatodon costae;CR;Portaria MMA N. 148/2022
Stigmatodon funebris;EN;Portaria MMA N. 148/2022
Stigmatodon goniorachis;EN;Portaria MMA N. 148/2022
Stigmatodon harrylutheri;CR;Portaria MMA N. 148/2022
Tillandsia afonsoana;CR;Portaria MMA N. 148/2022
Tillandsia araujei;EN;Portaria MMA N. 148/2022
Tillandsia brachyphylla;EN;Portaria MMA N. 148/2022
Tillandsia carminea;EN;Portaria MMA N. 148/2022
Tillandsia crocata;EN;Portaria MMA N. 148/2022
Tillandsia grazielae;EN;Portaria MMA N. 148/2022
Tillandsia heubergeri;VU;Portaria MMA N. 148/2022
Tillandsia jonesii;CR;Portaria MMA N. 148/2022
Tillandsia kautskyi;VU;Portaria MMA N. 148/2022
Tillandsia neglecta;CR;Portaria MMA N. 148/2022
Tillandsia reclinata;CR;Portaria MMA N. 148/2022
Tillandsia roseiflora;EN;Portaria MMA N. 148/2022
Tillandsia sucrei;CR;Portaria MMA N. 148/2022
Tillandsia xiphioides;EN;Portaria MMA N. 148/2022
Vriesea agostiniana;EN;Portaria MMA N. 148/2022
Vriesea altimontana;EN;Portaria MMA N. 148/2022
Vriesea altomacaensis;VU;Portaria MMA N. 148/2022
Vriesea amethystina;CR;Portaria MMA N. 148/2022
Vriesea arachnoidea;EN;Portaria MMA N. 148/2022
Vriesea biguassuensis;EN;Portaria MMA N. 148/2022
Vriesea bleherae;CR;Portaria MMA N. 148/2022
Vriesea botafogensis;EN;Portaria MMA N. 148/2022
Vriesea cacuminis;EN;Portaria MMA N. 148/2022
Vriesea calimaniana;CR;Portaria MMA N. 148/2022
Vriesea cearensis;EN;Portaria MMA N. 148/2022
Vriesea delicatula;VU;Portaria MMA N. 148/2022
Vriesea diamantinensis;EN;Portaria MMA N. 148/2022
Vriesea eltoniana;EN;Portaria MMA N. 148/2022
Vriesea fluminensis;EN;Portaria MMA N. 148/2022
Vriesea fontourae;CR;Portaria MMA N. 148/2022
Vriesea fradensis;CR;Portaria MMA N. 148/2022
Vriesea garlippiana;EN;Portaria MMA N. 148/2022
Vriesea gracilior;VU;Portaria MMA N. 148/2022
Vriesea kautskyana;VU;Portaria MMA N. 148/2022
Vriesea leptantha;CR;Portaria MMA N. 148/2022
Vriesea longistaminea;CR;Portaria MMA N. 148/2022
Vriesea menescalii;EN;Portaria MMA N. 148/2022
Vriesea minarum;EN;Portaria MMA N. 148/2022
Vriesea nubicola;CR;Portaria MMA N. 148/2022
Vriesea pastuchoffiana;EN;Portaria MMA N. 148/2022
Vriesea penduliflora;EN;Portaria MMA N. 148/2022
Vriesea pinottii;EN;Portaria MMA N. 148/2022
Vriesea racinae;EN;Portaria MMA N. 148/2022
Vriesea rubyae;EN;Portaria MMA N. 148/2022
Vriesea saundersii;EN;Portaria MMA N. 148/2022
Vriesea saxicola;EN;Portaria MMA N. 148/2022
Vriesea sazimae;VU;Portaria MMA N. 148/2022
Vriesea sucrei;EN;Portaria MMA N. 148/2022
Vriesea teresopolitana;CR;Portaria MMA N. 148/2022
Vriesea thyrsoidea;EN;Portaria MMA N. 148/2022
Vriesea vidalii;VU;Portaria MMA N. 148/2022
Vriesea warmingii;EN;Portaria MMA N. 148/2022
Vriesea wawranea;EN;Portaria MMA N. 148/2022
Vriesea weberi;CR;Portaria MMA N. 148/2022
Vriesea zildae;VU;Portaria MMA N. 148/2022
Wittrockia superba;EN;Portaria MMA N. 148/2022
Pringleella subulata;EN;Portaria MMA N. 148/2022
Bursera pereirae;EN;Portaria MMA N. 148/2022
Bursera simaruba;VU;Portaria MMA N. 148/2022
Dacryodes edilsonii;EN;Portaria MMA N. 148/2022
Protium bahianum;EN;Portaria MMA N. 148/2022
Protium breviacuminatum;EN;Portaria MMA N. 148/2022
Protium catuaba;VU;Portaria MMA N. 148/2022
Protium giganteum var. crassifolium;VU;Portaria MMA N. 148/2022
Protium glaziovii;EN;Portaria MMA N. 148/2022
Protium icicariba var. talmonii;EN;Portaria MMA N. 148/2022
Protium inodorum;EN;Portaria MMA N. 148/2022
Protium occhionii;EN;Portaria MMA N. 148/2022
Trattinnickia ferruginea;EN;Portaria MMA N. 148/2022
Trattinnickia mensalis;EN;Portaria MMA N. 148/2022
Arrojadoa bahiensis;EN;Portaria MMA N. 148/2022
Arrojadoa eriocaulis;EN;Portaria MMA N. 148/2022
Arthrocereus glaziovii;EN;Portaria MMA N. 148/2022
Arthrocereus melanurus subsp. melanurus;EN;Portaria MMA N. 148/2022
Arthrocereus melanurus subsp. magnus;EN;Portaria MMA N. 148/2022
Arthrocereus melanurus subsp. odorus;EN;Portaria MMA N. 148/2022
Arthrocereus rondonianus;EN;Portaria MMA N. 148/2022
Brasilicereus markgrafii;EN;Portaria MMA N. 148/2022
Cereus mirabella;VU;Portaria MMA N. 148/2022
Cipocereus bradei;VU;Portaria MMA N. 148/2022
Cipocereus crassisepalus;EN;Portaria MMA N. 148/2022
Cipocereus laniflorus;EN;Portaria MMA N. 148/2022
Cipocereus minensis;VU;Portaria MMA N. 148/2022
Cipocereus pusilliflorus;CR;Portaria MMA N. 148/2022
Coleocephalocereus buxbaumianus subsp. flavisetus;VU;Portaria MMA N. 148/2022
Coleocephalocereus purpureus;EN;Portaria MMA N. 148/2022
Discocactus bahiensis;VU;Portaria MMA N. 148/2022
Discocactus catingicola;VU;Portaria MMA N. 148/2022
Discocactus horstii;CR;Portaria MMA N. 148/2022
Discocactus pseudoinsignis;CR;Portaria MMA N. 148/2022
Discocactus zehntneri;VU;Portaria MMA N. 148/2022
Echinopsis calochlora;CR;Portaria MMA N. 148/2022
Echinopsis oxygona;EN;Portaria MMA N. 148/2022
