Especie;Categoria_Ameaca;Legislacao
Cymbopetalum euneurum;EN;Portaria MMA N. 148/2022
Duguetia bahiensis;VU;Portaria MMA N. 148/2022
Duguetia duckei;EN;Portaria MMA N. 148/2022
Duguetia magnolioidea;EN;Portaria MMA N. 148/2022
Duguetia microphylla;EN;Portaria MMA N. 148/2022
Duguetia pohliana;EN;Portaria MMA N. 148/2022
Duguetia restingae;CR;Portaria MMA N. 148/2022
Duguetia rotundifolia;VU;Portaria MMA N. 148/2022
Duguetia scottmorii;EN;Portaria MMA N. 148/2022
Duguetia sooretamae;EN;Portaria MMA N. 148/2022
Duguetia subcordata;EN;Portaria MMA N. 148/2022
Guatteria attenuata;CR;Portaria MMA N. 148/2022
Guatteria hispida;EN;Portaria MMA N. 148/2022
Guatteria latifolia;EN;Portaria MMA N. 148/2022
Guatteria stenocarpa;EN;Portaria MMA N. 148/2022
Hornschuchia alba;CR;Portaria MMA N. 148/2022
Hornschuchia cauliflora;EN;Portaria MMA N. 148/2022
Hornschuchia leptandra;EN;Portaria MMA N. 148/2022
Hornschuchia lianarum;EN;Portaria MMA N. 148/2022
Hornschuchia myrtillus;VU;Portaria MMA N. 148/2022
Hornschuchia obliqua;EN;Portaria MMA N. 148/2022
Hornschuchia santosii;EN;Portaria MMA N. 148/2022
Oxandra unibracteata;CR;Portaria MMA N. 148/2022
Pseudoxandra bahiensis;VU;Portaria MMA N. 148/2022
Pseudoxandra spiritus-sancti;EN;Portaria MMA N. 148/2022
Trigynaea axilliflora;EN;Portaria MMA N. 148/2022
Trigynaea oblongifolia;EN;Portaria MMA N. 148/2022
Unonopsis aurantiaca;EN;Portaria MMA N. 148/2022
Unonopsis bauxitae;CR;Portaria MMA N. 148/2022
Unonopsis riedeliana;EN;Portaria MMA N. 148/2022
Unonopsis sanctae-teresae;CR;Portaria MMA N. 148/2022
Xylopia atlantica;EN;Portaria MMA N. 148/2022
Xylopia brasiliensis;VU;Portaria MMA N. 148/2022
Xylopia decorticans;EN;Portaria MMA N. 148/2022
Xylopia involucrata;VU;Portaria MMA N. 148/2022
Xylopia trichostemon;VU;Portaria MMA N. 148/2022
Eryngium corallinum;CR;Portaria MMA N. 148/2022
Eryngium divaricatum;EN;Portaria MMA N. 148/2022
Eryngium dorae;CR;Portaria MMA N. 148/2022
Eryngium falcifolium;EN;Portaria MMA N. 148/2022
Eryngium fluminense;VU;Portaria MMA N. 148/2022
Eryngium koehneanum;VU;Portaria MMA N. 148/2022
Eryngium ombrophilum;EN;Portaria MMA N. 148/2022
Eryngium ramboanum;CR;Portaria MMA N. 148/2022
Eryngium scirpinum;EN;Portaria MMA N. 148/2022
Eryngium smithii;EN;Portaria MMA N. 148/2022
Eryngium urbanianum;EN;Portaria MMA N. 148/2022
Eryngium zosterifolium;VU;Portaria MMA N. 148/2022
Klotzschia rhizophylla;EN;Portaria MMA N. 148/2022
Lilaeopsis brasiliensis;VU;Portaria MMA N. 148/2022
Aspidosperma auriculatum;EN;Portaria MMA N. 148/2022
Aspidosperma castroanum;EN;Portaria MMA N. 148/2022
Aspidosperma confertiflorum;EN;Portaria MMA N. 148/2022
Aspidosperma formosanum;EN;Portaria MMA N. 148/2022
Aspidosperma huberianum;EN;Portaria MMA N. 148/2022
Aspidosperma nigricans;EN;Portaria MMA N. 148/2022
Aspidosperma obscurinervium;EN;Portaria MMA N. 148/2022
Aspidosperma occidentale;EN;Portaria MMA N. 148/2022
Aspidosperma oliganthum;EN;Portaria MMA N. 148/2022
Aspidosperma parvifolium;EN;Portaria MMA N. 148/2022
Aspidosperma rizzoanum;EN;Portaria MMA N. 148/2022
Aspidosperma salgadense;EN;Portaria MMA N. 148/2022
Aspidosperma thomasii;EN;Portaria MMA N. 148/2022
Ditassa auriflora;CR;Portaria MMA N. 148/2022
Ditassa cipoensis;EN;Portaria MMA N. 148/2022
Ditassa cordeiroana;EN;Portaria MMA N. 148/2022
Ditassa itambensis;EN;Portaria MMA N. 148/2022
Ditassa laevis;EN;Portaria MMA N. 148/2022
Ditassa leonii;VU;Portaria MMA N. 148/2022
Ditassa longisepala;EN;Portaria MMA N. 148/2022
Ditassa maricaensis;EN;Portaria MMA N. 148/2022
Ditassa melantha;EN;Portaria MMA N. 148/2022
Ditassa oberdanii;EN;Portaria MMA N. 148/2022
Gonolobus dorothyanus;EN;Portaria MMA N. 148/2022
Gyrostelma bornmuelleri;EN;Portaria MMA N. 148/2022
Gyrostelma oxypetaloides;EN;Portaria MMA N. 148/2022
Hemipogon abietoides;CR;Portaria MMA N. 148/2022
Hemipogon hatschbachii;CR;Portaria MMA N. 148/2022
Jobinia hatschbachii;EN;Portaria MMA N. 148/2022
Lacmellea bahiensis;EN;Portaria MMA N. 148/2022
Lacmellea pauciflora;EN;Portaria MMA N. 148/2022
Macroditassa marianae;CR;Portaria MMA N. 148/2022
